cascade_set,scaleFactor,minNeighbors,minSize,det,oversize,mean_area_ratio,score
frontalface_default,1.1,2,24,13.0,0.0,0.005373254095625507,7.8
frontalface_default+frontalface_alt2,1.08,4,16,13.0,0.0,0.004641364625871959,7.8
frontalface_default+frontalface_alt2,1.08,4,18,13.0,0.0,0.004641364625871959,7.8
frontalface_default+frontalface_alt2,1.08,4,20,13.0,0.0,0.004641364625871959,7.8
frontalface_default+frontalface_alt2,1.08,4,24,13.0,0.0,0.004641364625871959,7.8
frontalface_default,1.05,1,16,28.0,0.0,0.0041740564228170095,8.8
frontalface_default,1.05,1,18,28.0,0.0,0.0041740564228170095,8.8
frontalface_default,1.05,1,20,28.0,0.0,0.0041740564228170095,8.8
frontalface_default,1.05,1,24,28.0,0.0,0.0041740564228170095,8.8
frontalface_default,1.05,4,16,12.0,0.0,0.004039110376643944,8.8
frontalface_default,1.05,4,18,12.0,0.0,0.004039110376643944,8.8
frontalface_default,1.05,4,20,12.0,0.0,0.004039110376643944,8.8
frontalface_default,1.05,4,24,12.0,0.0,0.004039110376643944,8.8
frontalface_default+frontalface_alt2,1.07,1,16,28.0,0.0,0.0043071089208250955,8.8
frontalface_default+frontalface_alt2,1.07,1,18,28.0,0.0,0.0043071089208250955,8.8
frontalface_default+frontalface_alt2,1.07,1,20,28.0,0.0,0.0043071089208250955,8.8
frontalface_default+frontalface_alt2,1.07,1,24,28.0,0.0,0.0043071089208250955,8.8
frontalface_default+frontalface_alt2,1.07,4,16,12.0,0.0,0.003940559801693865,8.8
frontalface_default+frontalface_alt2,1.07,4,18,12.0,0.0,0.003940559801693865,8.8
frontalface_default+frontalface_alt2,1.07,4,20,12.0,0.0,0.003940559801693865,8.8
frontalface_default+frontalface_alt2,1.07,4,24,12.0,0.0,0.003940559801693865,8.8
frontalface_default+frontalface_alt2,1.08,1,16,28.0,0.0,0.004459859238055892,8.8
frontalface_default+frontalface_alt2,1.08,1,18,28.0,0.0,0.004459859238055892,8.8
frontalface_default+frontalface_alt2,1.08,1,20,28.0,0.0,0.004459859238055892,8.8
frontalface_default+frontalface_alt2,1.08,1,24,28.0,0.0,0.004459859238055892,8.8
frontalface_default+frontalface_alt2+profileface,1.07,2,16,29.0,0.0,0.005574902592083425,9.0
frontalface_default+frontalface_alt2+profileface,1.07,2,18,29.0,0.0,0.005574902592083425,9.0
frontalface_default+frontalface_alt2+profileface,1.07,2,20,29.0,0.0,0.005574902592083425,9.0
frontalface_default+frontalface_alt2+profileface,1.07,2,24,29.0,0.0,0.005574902592083425,9.0
frontalface_default+frontalface_alt2+profileface,1.1,4,16,13.0,1.0,0.007730522937091828,9.0
frontalface_default+frontalface_alt2+profileface,1.1,4,18,13.0,1.0,0.007730522937091828,9.0
frontalface_default+frontalface_alt2+profileface,1.1,4,20,13.0,1.0,0.007730522937091828,9.0
frontalface_default+frontalface_alt2+profileface,1.1,4,24,13.0,1.0,0.007730522937091828,9.0
frontalface_default,1.08,3,16,11.0,0.0,0.003421438095059248,9.8
frontalface_default,1.08,3,18,11.0,0.0,0.003421438095059248,9.8
frontalface_default,1.08,3,20,11.0,0.0,0.003421438095059248,9.8
