Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx,Math_GFLOPs,C2_GFLOPs,C3_GFLOPs,C4_GFLOPs,C5_GFLOPs
635,"[24, 38, 17, 25]",0.7586988210678101,56,1,24,80,3,38,40,2,17,56,2,25,2.0089728,0.2572288,1.1573248,0.21376,0.0259584
382,"[24, 35, 4, 3]",0.7587104439735413,56,1,24,72,4,35,16,1,4,8,4,3,2.0581376,0.2572288,1.2980224,0.1450496,0.003136
84,"[5, 57, 15, 42]",0.7587136030197144,16,2,5,120,2,57,32,4,15,88,3,42,1.9607168,0.2260992,0.8685568,0.4466176,0.0647424
975,"[9, 42, 0, 39]",0.7587812542915344,24,2,9,88,3,42,8,1,0,80,4,39,1.9192064,0.3186688,0.9701376,0.2082304,0.0674688
80,"[12, 57, 37, 4]",0.7590153038501739,32,1,12,120,2,57,80,2,37,16,1,4,2.1249664,0.1982464,1.0000384,0.527616,0.0443648
477,"[6, 57, 41, 33]",0.7593072831630707,16,3,6,120,2,57,88,2,41,72,2,33,2.1478784,0.2932736,0.8685568,0.5518336,0.0795136
968,"[10, 46, 35, 13]",0.7596043944358826,24,3,10,96,3,46,72,4,35,32,2,13,2.4875008,0.458752,1.1311104,0.5008896,0.042048
466,"[10, 57, 27, 48]",0.7596991240978241,24,3,10,120,2,57,56,4,27,104,1,48,2.3242496,0.458752,0.927744,0.5515264,0.0315264
616,"[52, 23, 13, 26]",0.7599647879600525,112,1,52,48,4,23,32,2,13,56,3,26,2.7148416,0.3948544,1.8448384,0.0881664,0.0322816
89,"[25, 28, 59, 28]",0.7599960386753082,56,2,25,64,1,28,120,4,59,64,1,28,2.5892096,0.9510912,0.4388864,0.737536,0.1069952
429,"[19, 44, 48, 34]",0.7600802958011628,40,4,19,96,1,44,104,1,48,72,3,34,2.386816,1.3115392,0.2910208,0.3106816,0.1188736
359,"[40, 56, 30, 28]",0.7601109147071838,88,1,40,120,1,56,64,3,30,64,1,28,2.3734656,0.335872,1.1081728,0.5402112,0.0345088
820,"[29, 3, 49, 18]",0.7606126427650451,64,2,29,8,4,3,104,2,49,40,3,18,2.2401792,1.1747328,0.4642816,0.157184,0.08928
551,"[33, 25, 4, 8]",0.7606408357620239,72,2,33,56,2,25,16,1,4,24,1,8,2.7077248,1.4245888,0.835584,0.0900608,0.0027904
5,"[56, 14, 28, 1]",0.7608306229114532,120,1,56,32,3,14,64,1,28,8,2,1,2.568704,0.4145152,1.7266688,0.0444416,0.0283776
615,"[48, 17, 2, 58]",0.7608779609203339,104,1,48,40,2,17,8,3,2,120,3,58,2.2147328,0.3751936,1.337344,0.0482816,0.0992128
355,"[19, 16, 56, 21]",0.7609120547771454,40,4,19,40,1,16,120,1,56,48,2,21,2.0803584,1.3115392,0.222208,0.080128,0.1117824
58,"[24, 30, 55, 30]",0.7609341561794281,56,1,24,64,3,30,112,4,55,64,3,30,2.2831744,0.2572288,0.887808,0.6611968,0.12224
372,"[48, 40, 38, 6]",0.7610380589962006,104,1,48,88,1,40,80,3,38,16,3,6,2.5857152,0.3751936,1.3838336,0.4255232,0.046464
662,"[40, 20, 47, 54]",0.7611129343509674,88,1,40,48,1,20,96,4,47,112,3,54,2.250944,0.335872,0.9312256,0.4666368,0.1625088
575,"[29, 33, 0, 28]",0.7613158583641052,64,2,29,72,2,33,8,1,0,64,1,28,2.5214464,1.1747328,0.848896,0.1409536,0.0021632
145,"[24, 30, 55, 56]",0.7613270044326782,56,1,24,64,3,30,112,4,55,120,1,56,2.2658688,0.2572288,0.887808,0.6611968,0.1049344
140,"[19, 17, 22, 32]",0.7614401042461395,40,4,19,40,2,17,48,3,22,72,1,32,2.1239936,1.3115392,0.313344,0.1225216,0.021888
877,"[40, 13, 51, 17]",0.7615266621112824,88,1,40,32,2,13,104,4,51,40,2,17,2.2138496,0.335872,0.9517056,0.4879872,0.083584
927,"[33, 24, 20, 2]",0.7615958690643311,72,2,33,56,1,24,48,1,20,8,3,2,2.5613696,1.4245888,0.6621184,0.103168,0.0167936
489,"[11, 31, 46, 24]",0.7616421818733216,24,4,11,64,4,31,96,3,46,56,1,24,2.213312,0.5988352,0.7903232,0.3997696,0.0696832
82,"[40, 23, 28, 10]",0.761712771654129,88,1,40,48,4,23,64,1,28,24,3,10,2.1278336,0.335872,1.3182976,0.0846848,0.0342784
388,"[36, 33, 17, 58]",0.7617567300796508,80,1,36,72,2,33,40,2,17,120,3,58,2.0846848,0.3162112,1.1180032,0.1801216,0.115648
86,"[19, 32, 40, 14]",0.7617725014686585,40,4,19,72,1,32,88,1,40,32,3,14,2.1729024,1.3115392,0.2615296,0.1819136,0.0632192
149,"[11, 49, 23, 41]",0.7618770003318787,24,4,11,104,2,49,48,4,23,88,2,41,2.1444096,0.5988352,0.7274496,0.4140544,0.0493696
846,"[15, 37, 59, 4]",0.7619425296783447,32,4,15,80,2,37,120,4,59,16,1,4,2.7177216,0.9158656,0.5402624,0.809728,0.0971648
974,"[40, 27, 23, 8]",0.7619505822658539,88,1,40,56,4,27,48,4,23,24,1,8,2.3793792,0.335872,1.4712832,0.199936,0.0175872
618,"[5, 38, 49, 54]",0.76237832903862,16,2,5,80,3,38,104,2,49,112,3,54,1.8978304,0.2260992,0.7712768,0.371456,0.1742976
675,"[6, 49, 49, 55]",0.7624302208423615,16,3,6,104,2,49,104,2,49,112,4,55,2.0374272,0.2932736,0.6715392,0.5018624,0.2160512
796,"[19, 6, 4, 50]",0.7625391006469726,40,4,19,16,3,6,16,1,4,104,3,50,1.9805568,1.3115392,0.226304,0.0099328,0.07808
839,"[7, 43, 13, 47]",0.7626905083656311,16,4,7,88,4,43,32,2,13,96,4,47,2.3931264,0.360448,1.334272,0.2379264,0.1057792
591,"[32, 57, 4, 56]",0.7627840042114258,72,1,32,120,2,57,16,1,4,120,1,56,2.6045056,0.2965504,1.5581184,0.3886592,0.0064768
813,"[33, 18, 27, 44]",0.7632006824016571,72,2,33,40,3,18,56,4,27,96,1,44,2.8121856,1.4245888,0.8116224,0.1905664,0.0307072
350,"[16, 54, 6, 33]",0.763214385509491,40,1,16,112,3,54,16,3,6,72,2,33,2.5899264,0.2179072,1.6467968,0.3482624,0.0222592
950,"[52, 23, 16, 15]",0.7632453501224518,112,1,52,48,4,23,40,1,16,32,4,15,2.6949632,0.3948544,1.8448384,0.0760832,0.0244864
844,"[16, 37, 58, 7]",0.763318932056427,40,1,16,80,2,37,120,3,58,16,4,7,1.9088896,0.2179072,0.617472,0.618496,0.1003136
956,"[28, 57, 48, 35]",0.7637007296085357,64,1,28,120,2,57,104,1,48,72,4,35,2.6491264,0.2768896,1.420288,0.4607488,0.1364992
886,"[40, 40, 13, 57]",0.7637482821941376,88,1,40,88,1,40,32,2,13,120,2,57,2.0205312,0.335872,1.0295296,0.2379264,0.0625024
110,"[40, 33, 1, 45]",0.7639829099178315,88,1,40,72,2,33,8,2,1,96,2,45,2.13888,0.335872,1.2722176,0.1422336,0.033856
743,"[52, 23, 19, 42]",0.763990843296051,112,1,52,48,4,23,40,4,19,88,3,42,2.8084992,0.3948544,1.8448384,0.1444352,0.0696704
61,"[40, 48, 21, 28]",0.7640363991260528,88,1,40,104,1,48,48,2,21,64,1,28,2.1301376,0.335872,1.0688512,0.3495424,0.0211712
552,"[48, 17, 51, 16]",0.7641110002994538,104,1,48,40,2,17,104,4,51,40,1,16,2.6536448,0.3751936,1.337344,0.5085184,0.077888
860,"[44, 14, 22, 49]",0.7641894459724426,96,1,44,32,3,14,48,3,22,104,2,49,2.046592,0.3555328,1.1706368,0.1048576,0.060864
459,"[9, 39, 8, 22]",0.7643578171730041,24,2,9,80,4,39,24,1,8,48,3,22,2.046336,0.3186688,1.168384,0.1819648,0.0226176
595,"[40, 44, 40, 21]",0.7650374412536621,88,1,40,96,1,44,88,1,40,48,2,21,2.1060608,0.335872,1.0491904,0.300032,0.0662656
208,"[10, 49, 54, 33]",0.7652871191501618,24,3,10,104,2,49,112,3,54,72,2,33,2.3514368,0.458752,0.7274496,0.6971904,0.113344
594,"[48, 44, 26, 21]",0.7653206944465637,104,1,48,96,1,44,56,3,26,48,2,21,2.5359872,0.3751936,1.4067712,0.3654656,0.033856
484,"[44, 22, 7, 2]",0.7654006063938141,96,1,44,48,3,22,16,4,7,8,3,2,2.1448064,0.3555328,1.35168,0.0800768,0.002816
648,"[52, 17, 53, 4]",0.7654704272747039,112,1,52,40,2,17,112,2,53,16,1,4,2.6035328,0.3948544,1.5243264,0.2446848,0.0849664
330,"[48, 21, 24, 53]",0.7658425331115722,104,1,48,48,2,21,56,1,24,112,2,53,2.2839808,0.3751936,1.3981696,0.0818176,0.0740992
577,"[56, 12, 39, 36]",0.7663757026195526,120,1,56,32,1,12,80,4,39,80,1,36,2.7377792,0.4145152,1.6070656,0.3081216,0.053376
665,"[40, 48, 51, 40]",0.7664297163486481,88,1,40,104,1,48,104,4,51,88,1,40,2.6366464,0.335872,1.0688512,0.7907328,0.0864896
587,"[44, 38, 16, 20]",0.7665111780166626,96,1,44,80,3,38,40,1,16,48,1,20,2.7867648,0.3555328,1.8710528,0.190976,0.0145024
111,"[6, 35, 47, 54]",0.7667105734348297,16,3,6,72,4,35,96,4,47,112,3,54,2.2871424,0.2932736,0.9201664,0.5564928,0.1625088
512,"[33, 21, 16, 36]",0.7668609023094177,72,2,33,48,2,21,40,1,16,80,1,36,2.6470912,1.4245888,0.7747584,0.0760832,0.01696
899,"[19, 12, 0, 49]",0.7670826315879822,40,4,19,32,1,12,8,1,0,104,2,49,1.9480192,1.3115392,0.2123776,0.0301056,0.039296
570,"[18, 2, 55, 24]",0.7672009289264679,40,3,18,8,3,2,112,4,55,56,1,24,2.10208,0.9469952,0.1931264,0.5146112,0.0926464
470,"[36, 26, 23, 20]",0.7672941446304321,80,1,36,56,3,26,48,4,23,48,1,20,2.0374656,0.3162112,1.14688,0.199936,0.0197376
65,"[56, 13, 7, 4]",0.7673148393630982,120,1,56,32,2,13,16,4,7,16,1,4,2.4833152,0.4145152,1.6668672,0.0447488,0.0024832
626,"[5, 42, 53, 38]",0.7673557996749878,16,2,5,88,3,42,112,2,53,80,3,38,2.0779648,0.2260992,0.917504,0.4391424,0.1405184
866,"[17, 53, 4, 40]",0.76739621758461,40,2,17,112,2,53,16,1,4,88,1,40,2.2610048,0.5824512,0.9787392,0.3398656,0.005248
417,"[9, 47, 5, 43]",0.7677546501159668,24,2,9,96,4,47,16,2,5,88,4,43,2.6381568,0.3186688,1.625088,0.2563072,0.083392
720,"[19, 6, 35, 44]",0.7677793025970459,40,4,19,16,3,6,72,4,35,96,1,44,2.169088,1.3115392,0.226304,0.2300416,0.0465024
343,"[48, 7, 12, 51]",0.7681539535522461,104,1,48,16,4,7,32,1,12,104,4,51,2.0920576,0.3751936,1.227776,0.0123904,0.1219968
161,"[40, 38, 20, 32]",0.7682826817035675,88,1,40,80,3,38,48,1,20,72,1,32,2.6100352,0.335872,1.7020928,0.1954816,0.021888
787,"[33, 16, 21, 13]",0.7684177100658417,72,2,33,40,1,16,48,2,21,32,2,13,2.5209472,1.4245888,0.6293504,0.0902656,0.0220416
374,"[12, 46, 15, 17]",0.7685467362403869,32,1,12,96,3,46,32,4,15,40,2,17,2.0743168,0.1982464,1.1984896,0.3076096,0.0152704
354,"[7, 39, 10, 27]",0.7689958989620209,16,4,7,80,4,39,24,3,10,56,4,27,2.0714368,0.360448,1.1173888,0.1994752,0.039424
102,"[9, 47, 11, 21]",0.7693035721778869,24,2,9,96,4,47,24,4,11,48,2,21,2.5967104,0.3186688,1.625088,0.2836992,0.0145536
602,"[48, 44, 53, 57]",0.7693646907806396,104,1,48,96,1,44,112,2,53,120,2,57,2.7724288,0.3751936,1.4067712,0.4830208,0.1527424
404,"[26, 21, 28, 8]",0.769397634267807,56,3,26,48,2,21,64,1,28,24,1,8,2.655936,1.6449536,0.541696,0.0846848,0.0299008
394,"[19, 5, 58, 29]",0.7695274412631988,40,4,19,16,2,5,120,3,58,64,2,29,2.4051456,1.3115392,0.2095104,0.4083712,0.121024
807,"[6, 57, 50, 1]",0.7696524083614349,16,3,6,120,2,57,104,3,50,8,2,1,2.338624,0.2932736,0.8685568,0.7496192,0.0724736
872,"[24, 50, 52, 10]",0.7698068082332611,56,1,24,104,3,50,112,1,52,24,3,10,2.7258752,0.2572288,1.659904,0.3631616,0.09088
644,"[32, 24, 47, 33]",0.7699013769626617,72,1,32,56,1,24,96,4,47,72,2,33,1.8966528,0.2965504,0.6621184,0.493312,0.0899712
711,"[28, 57, 28, 29]",0.7699377357959747,64,1,28,120,2,57,64,1,28,64,2,29,2.5283968,0.2768896,1.420288,0.4279808,0.0485376
405,"[48, 11, 43, 52]",0.770016884803772,104,1,48,24,4,11,88,4,43,112,1,52,2.450048,0.3751936,1.3053952,0.3467264,0.068032
386,"[15, 36, 53, 20]",0.7700648844242096,32,4,15,80,1,36,112,2,53,48,1,20,1.954368,0.9158656,0.1941504,0.3985408,0.0911104
983,"[6, 47, 25, 4]",0.770226389169693,16,3,6,96,4,47,56,2,25,16,1,4,2.5634048,0.2932736,1.570816,0.3220992,0.0225152
107,"[6, 54, 31, 50]",0.7705033242702484,16,3,6,112,3,54,64,4,31,104,3,50,2.7392128,0.2932736,1.4348288,0.5450752,0.1113344
601,"[48, 10, 41, 42]",0.7705613017082215,104,1,48,24,3,10,88,2,41,88,3,42,2.2550528,0.3751936,1.2703744,0.1383424,0.1164416
418,"[19, 23, 21, 3]",0.770597493648529,40,4,19,48,4,23,48,2,21,8,4,3,2.4136704,1.3115392,0.6191104,0.1112064,0.0171136
288,"[21, 44, 44, 52]",0.7708084225654602,48,2,21,96,1,44,96,1,44,112,1,52,1.8773376,0.753664,0.3846144,0.3053568,0.0790016
921,"[29, 8, 6, 4]",0.7708936214447022,64,2,29,24,1,8,16,3,6,16,1,4,2.0381312,1.1747328,0.4784128,0.0278016,0.0024832
621,"[28, 41, 32, 28]",0.7709549248218537,64,1,28,88,2,41,72,1,32,64,1,28,1.9346944,0.2768896,1.0131456,0.247552,0.0424064
959,"[5, 43, 37, 23]",0.7712298274040222,16,2,5,88,4,43,80,2,37,48,4,23,2.3271296,0.2260992,1.334272,0.3389952,0.0730624
490,"[6, 46, 53, 55]",0.771373164653778,16,3,6,96,3,46,112,2,53,112,4,55,2.4364928,0.2932736,1.0768384,0.4830208,0.2286592
212,"[5, 46, 36, 23]",0.7714400351047516,16,2,5,96,3,46,80,1,36,48,4,23,2.025408,0.2260992,1.0768384,0.2947072,0.0730624
464,"[9, 41, 55, 7]",0.7716602325439453,24,2,9,88,2,41,112,4,55,16,4,7,2.0880256,0.3186688,0.5533696,0.7731712,0.0881152
12,"[44, 19, 8, 20]",0.7717714488506318,96,1,44,40,4,19,24,1,8,48,1,20,2.1131008,0.3555328,1.3457408,0.0506368,0.0064896
