Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
334,"[52, 2, 38, 24]",1.204337356267152,112,1,52,8,3,2,80,3,38,56,1,24
201,"[3, 54, 53, 20]",1.2043901225666942,8,4,3,112,3,54,112,2,53,48,1,20
910,"[36, 26, 0, 52]",1.2056722471743455,80,1,36,56,3,26,8,1,0,112,1,52
460,"[40, 25, 1, 56]",1.2058580370596896,88,1,40,56,2,25,8,2,1,120,1,56
241,"[56, 1, 53, 5]",1.2067904693109017,120,1,56,8,2,1,112,2,53,16,2,5
751,"[56, 3, 58, 40]",1.2076024714811349,120,1,56,8,4,3,120,3,58,88,1,40
989,"[48, 20, 44, 17]",1.208123203412986,104,1,48,48,1,20,96,1,44,40,2,17
896,"[56, 12, 37, 24]",1.2106852972948994,120,1,56,32,1,12,80,2,37,56,1,24
849,"[48, 5, 48, 7]",1.2118336904196092,104,1,48,16,2,5,104,1,48,16,4,7
579,"[33, 1, 9, 28]",1.2131730634489177,72,2,33,8,2,1,24,2,9,64,1,28
822,"[52, 40, 13, 24]",1.2133149320696608,112,1,52,88,1,40,32,2,13,56,1,24
926,"[23, 32, 36, 48]",1.2166955728589752,48,4,23,72,1,32,80,1,36,104,1,48
325,"[22, 44, 52, 36]",1.2168116201589136,48,3,22,96,1,44,112,1,52,80,1,36
854,"[40, 23, 0, 4]",1.2175571800749978,88,1,40,48,4,23,8,1,0,16,1,4
756,"[52, 1, 30, 52]",1.218172839394322,112,1,52,8,2,1,64,3,30,112,1,52
528,"[25, 9, 56, 52]",1.2224944314838928,56,2,25,24,2,9,120,1,56,112,1,52
665,"[23, 9, 16, 44]",1.222785113034425,48,4,23,24,2,9,40,1,16,96,1,44
916,"[48, 0, 25, 53]",1.2234666178255906,104,1,48,8,1,0,56,2,25,112,2,53
218,"[23, 32, 24, 40]",1.225865611323604,48,4,23,72,1,32,56,1,24,88,1,40
230,"[23, 2, 12, 1]",1.2265882779050756,48,4,23,8,3,2,32,1,12,8,2,1
711,"[37, 0, 44, 5]",1.226969649762283,80,2,37,8,1,0,96,1,44,16,2,5
725,"[0, 43, 3, 25]",1.2274096313818001,8,1,0,88,4,43,8,4,3,56,2,25
119,"[37, 3, 3, 12]",1.2295854032775502,80,2,37,8,4,3,8,4,3,32,1,12
550,"[52, 1, 8, 35]",1.2303269063984905,112,1,52,8,2,1,24,1,8,72,4,35
919,"[48, 0, 40, 51]",1.2304237639462505,104,1,48,8,1,0,88,1,40,104,4,51
82,"[48, 11, 52, 44]",1.233024811303174,104,1,48,24,4,11,112,1,52,96,1,44
939,"[4, 43, 52, 0]",1.2351903988991255,16,1,4,88,4,43,112,1,52,8,1,0
835,"[19, 1, 6, 36]",1.235409293645694,40,4,19,8,2,1,16,3,6,80,1,36
598,"[22, 13, 0, 52]",1.240910130518454,48,3,22,32,2,13,8,1,0,112,1,52
885,"[0, 54, 25, 36]",1.2418382322346722,8,1,0,112,3,54,56,2,25,80,1,36
718,"[56, 11, 32, 28]",1.2423114548494787,120,1,56,24,4,11,72,1,32,64,1,28
367,"[25, 40, 1, 12]",1.2434842130284252,56,2,25,88,1,40,8,2,1,32,1,12
697,"[37, 5, 16, 48]",1.2452362135604575,80,2,37,16,2,5,40,1,16,104,1,48
969,"[52, 20, 36, 5]",1.245747360918257,112,1,52,48,1,20,80,1,36,16,2,5
272,"[40, 44, 0, 41]",1.2467399423505052,88,1,40,96,1,44,8,1,0,88,2,41
571,"[19, 5, 56, 28]",1.248489832436597,40,4,19,16,2,5,120,1,56,64,1,28
780,"[52, 2, 29, 56]",1.260035730438468,112,1,52,8,3,2,64,2,29,120,1,56
175,"[6, 57, 8, 56]",1.2643563982881145,16,3,6,120,2,57,24,1,8,120,1,56
