Arch_ID,Config,Val_Loss,C2_w,C2_d,C2_idx,C3_w,C3_d,C3_idx,C4_w,C4_d,C4_idx,C5_w,C5_d,C5_idx
604,"[11, 41, 46, 29]",0.7489570677280426,24,4,11,88,2,41,96,3,46,64,2,29
469,"[52, 33, 3, 59]",0.7489663362503052,112,1,52,72,2,33,8,4,3,120,4,59
128,"[19, 29, 17, 9]",0.7490139663219452,40,4,19,64,2,29,40,2,17,24,2,9
688,"[36, 35, 11, 12]",0.7490895867347718,80,1,36,72,4,35,24,4,11,32,1,12
986,"[5, 43, 40, 6]",0.7490897059440613,16,2,5,88,4,43,88,1,40,16,3,6
367,"[17, 17, 55, 12]",0.749094796180725,40,2,17,40,2,17,112,4,55,32,1,12
195,"[32, 37, 22, 21]",0.7491522312164307,72,1,32,80,2,37,48,3,22,48,2,21
198,"[28, 49, 2, 2]",0.7491652965545654,64,1,28,104,2,49,8,3,2,8,3,2
41,"[16, 54, 12, 47]",0.749174052476883,40,1,16,112,3,54,32,1,12,96,4,47
320,"[48, 33, 18, 55]",0.7492353916168213,104,1,48,72,2,33,40,3,18,112,4,55
598,"[29, 5, 22, 41]",0.749447250366211,64,2,29,16,2,5,48,3,22,88,2,41
118,"[10, 41, 53, 22]",0.7496165871620178,24,3,10,88,2,41,112,2,53,48,3,22
296,"[44, 26, 17, 38]",0.7497544288635254,96,1,44,56,3,26,40,2,17,80,3,38
761,"[28, 42, 51, 16]",0.7498290002346039,64,1,28,88,3,42,104,4,51,40,1,16
520,"[44, 26, 50, 29]",0.7502743899822235,96,1,44,56,3,26,104,3,50,64,2,29
313,"[19, 1, 3, 42]",0.7507190108299255,40,4,19,8,2,1,8,4,3,88,3,42
232,"[33, 4, 14, 53]",0.7507418692111969,72,2,33,16,1,4,32,3,14,112,2,53
532,"[21, 1, 55, 18]",0.7508232653141022,48,2,21,8,2,1,112,4,55,40,3,18
663,"[28, 42, 1, 12]",0.7508307099342346,64,1,28,88,3,42,8,2,1,32,1,12
211,"[52, 15, 48, 25]",0.7509117245674133,112,1,52,32,4,15,104,1,48,56,2,25
