epoch,iteration,record_type,scheduler,scale_0.3500,scale_0.4500,scale_0.6000,scale_0.8000,scale_1.0000,scale_1.2000,scale_1.4000,scale_1.6000,scale_1.8000,scale_2.0000
16,6449,epoch_end,adaptive_sr,0.049698419023101494,0.06259066766365853,0.08955920623838853,0.11635257144987197,0.13045729111031357,0.1202767405615523,0.12076402265689054,0.11072001459697398,0.10763657874777792,0.09194448795147116
17,6852,epoch_end,adaptive_sr,0.049306883526118735,0.062274714857384,0.08940136042855638,0.11635385122016302,0.130556857847062,0.12037264102147939,0.12092205734611465,0.1108973194550783,0.10788002320210752,0.09203429109593611
18,7255,epoch_end,adaptive_sr,0.04898672014776979,0.06200983023181665,0.08925211018286468,0.11633159618495564,0.13063418506998228,0.12044932420896781,0.12105191761265663,0.11105464829176985,0.10810199749129984,0.0921276705779167
19,7658,epoch_end,adaptive_sr,0.04871999728283108,0.06177940737953658,0.08909762119743296,0.11624418327728377,0.13058176776166888,0.12047516304946985,0.1211748713810242,0.11124600107840191,0.10839069256545669,0.09229029502689412
20,8061,epoch_end,adaptive_sr,0.04850292305149851,0.06158860857746049,0.08896178642430386,0.11616090729730855,0.130535627849213,0.12048702741782064,0.12126522263342374,0.11140890006384901,0.1086478612305718,0.09244113545455025
21,8464,epoch_end,adaptive_sr,0.04833102489621284,0.061439048174134786,0.08885895305380234,0.11611469337333667,0.13054644505997534,0.12051088950283485,0.12132979473195218,0.11151751640349493,0.10881799590624125,0.09253363889801487
22,8867,epoch_end,adaptive_sr,0.048191564024500956,0.061316004618501764,0.0887702519185112,0.1160749432899721,0.13056662929691243,0.1205322544647136,0.12137878931423335,0.11160423477322726,0.10895610391969487,0.09260922437973251
23,9270,epoch_end,adaptive_sr,0.04806309950780031,0.06118803579854462,0.08864332001749048,0.11595282623374355,0.13046763202629358,0.12053373141538155,0.12146545687426576,0.11175159802833581,0.10917713681737176,0.09275716328077262
24,9673,epoch_end,adaptive_sr,0.04796816134184727,0.06109935364724915,0.08856772445623222,0.115903776949519,0.13046388389203153,0.12054471023404692,0.12150415470664308,0.11182524816596441,0.10929451269379184,0.09282847391267454
25,10076,epoch_end,adaptive_sr,0.04789496987044615,0.061033230779068554,0.08851638798443111,0.11585517244230582,0.13040141731869448,0.12051899048358196,0.12152150601542004,0.11190168655711945,0.10943458365698973,0.09292205489194284
26,10479,epoch_end,adaptive_sr,0.04783533781306046,0.060978446596504685,0.08847174478679413,0.11580904650185568,0.13033931368404086,0.12049422880767127,0.12153685314239426,0.11196971640649203,0.10955878395385854,0.09300652830732796
27,10882,epoch_end,adaptive_sr,0.04776570408586499,0.06089628885630596,0.08836338879854688,0.11568949558791745,0.1302525180855729,0.12049613540076767,0.12160456073697912,0.11208257306410832,0.10972350848640379,0.09312582689753286
28,11285,epoch_end,adaptive_sr,0.04769402881058319,0.06080265000837535,0.0882238056415409,0.1155452109617471,0.13019380604997902,0.12050612254118605,0.12166905165313331,0.11220224515539216,0.10990359238615996,0.093259486791903
29,11688,epoch_end,adaptive_sr,0.04766280750984767,0.060773394930009106,0.08819866358839552,0.11550818927780773,0.13012582093048394,0.12047278043890919,0.12166981983029221,0.11225272043069563,0.11000396325501209,0.09333183980854694
